date,deaths_new
2021-10-02,1
2021-10-03,1
2021-10-04,2
2021-10-05,1
2021-10-06,1
2021-10-07,1
2021-10-08,1
2021-10-09,2
2021-10-10,1
2021-10-11,2
2021-10-12,1
2021-10-13,1
2021-10-14,1
2021-10-15,1
2021-10-16,1
2021-10-17,1
2021-10-19,1
2021-10-20,1
2021-10-21,1
2021-10-22,1
2021-10-23,2
2021-10-25,2
2021-10-26,1
2021-10-27,1
2021-10-28,1
2021-11-13,1
2021-11-14,0
2021-11-15,2
2021-11-16,1
2021-11-18,1
2021-11-19,1
2021-11-20,1
2021-11-21,1
2021-11-22,2
2021-11-23,2
2021-11-24,1
2021-11-25,1
2021-11-26,1
2021-11-27,1
2021-11-28,1
2021-11-29,1
2021-12-01,1
2021-12-02,2
2021-12-06,1
2021-12-07,1
2021-12-08,1
2021-12-09,1
2021-12-10,1
2021-12-11,1
2021-12-12,2
2021-12-13,1
2021-12-14,1
2021-12-15,1
2021-12-16,2
2021-12-17,1
2021-12-18,1
2021-12-19,1
2021-12-20,0
2021-12-21,1
2021-12-22,1
2021-12-23,1
2021-12-24,1
2021-12-25,2
2021-12-26,1
2021-12-27,1
2021-12-28,1
2021-12-29,0
2021-12-30,1
2021-12-31,2
2022-01-01,2
2022-01-02,1
2022-01-03,1
2022-01-04,2
2022-01-05,1
2022-01-07,3
2022-01-08,2
2022-01-09,1
2022-01-10,1
2022-01-11,2
2022-01-12,2
2022-01-13,2
2022-01-14,3
2022-01-15,2
2022-01-16,3
2022-01-17,3
2022-01-19,3
2022-01-20,2
2022-01-21,2
2022-01-22,2
2022-01-23,1
2022-01-24,3
2022-01-25,2
2022-01-26,1
2022-01-27,3
2022-01-28,2
2022-02-01,2
2022-02-02,3
2022-02-03,2
2022-02-04,1
2022-02-05,2
2022-02-06,1
2022-02-07,1
2022-02-08,1
2022-02-09,1
2022-02-10,2
2022-02-11,1
2022-02-12,0
